Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
2021-01-01,0.18134,0.18473,0.17,0.17509,462201570.9,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17509,0.17509,0.17509,1,1,0.002,0.5,1,,,,,,,,,,,,,,
2021-01-02,0.17505,0.18457,0.16793,0.17742,660303281.2,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.17742,0.17742,0.17742,1,2,0.002,0.5,1,4.711111111111041,,2.1176470588236147,,0.856565656565661,,0.32579185520361587,,0.11952078928823764,,0.04298593235555631,,2.1176470588236147,
2021-01-03,0.1774,0.2096,0.17255,0.20615,1201451449.3,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.20615,0.20615,0.20615,1,3,0.0,0.5,1,20.0,0.7628802965968906,9.662403523076527,0.3429151166723171,3.9747811815542913,0.1387055084721647,1.5262598971793961,0.05275617179573831,0.5627821594832112,0.019354256996116957,0.20293924070780042,0.00696080394868185,9.662403523076527,0.3429151166723171
2021-01-04,0.20625,0.23992,0.19203,0.22528,1463415575.6,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.22528,0.22528,0.22528,1,4,0.0,0.5,1,20.0,1.855930147950522,16.992345995486257,0.8966373000070532,7.714301933606706,0.3688458113176503,3.120959736741749,0.14163158783915525,1.1822582555835643,0.05222421882567952,0.4322114354794521,0.01883205275158973,16.992345995486257,0.8966373000070532
2021-01-05,0.22518,0.26429,0.20696,0.25873,1478887679.33,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.25873,0.25873,0.25873,1,5,0.0,0.5,1,20.0,2.9696377840909083,20.0,2.523055635427091,10.471586219797503,1.1454341249962012,4.399770767469677,0.4634059978427356,1.7013104088552438,0.17554393931671794,0.6286691628084696,0.06417557047579754,20.0,2.523055635427091
2021-01-06,0.25889,0.34772,0.25347,0.33309,2059110042.76,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33309,0.33309,0.33309,1,6,0.0,0.5,1,20.0,5.748077146059596,20.0,5.748077146059596,10.670501394637865,3.009574271650531,4.560912763973205,1.264511089819677,1.7825891544399848,0.4889631739747067,0.6626207035953083,0.18068194235858917,20.0,5.748077146059596
2021-01-07,0.33311,0.3553,0.2785,0.29928,1411321698.55,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.29928,0.29928,0.29928,1,7,0.0,0.5,1,20.0,-2.0300819598306763,20.0,-2.0300819598306763,12.16824889055486,-1.08309961918012,5.594273260893637,-0.46295133612517353,2.268454915633487,-0.18094010421092163,0.8590222936778263,-0.06725871682895726,20.0,-2.0300819598306763
2021-01-08,0.29917,0.32165,0.26175,0.30389,1284205249.4,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30389,0.30389,0.30389,1,8,0.0,0.5,1,20.0,0.3080727078321299,20.0,0.3080727078321299,13.993268618754477,0.18743526926442733,6.879963680293988,0.0861721455918191,2.8897146991503306,0.03494245242271571,1.114202599606249,0.013232066205074755,20.0,0.3080727078321299
2021-01-09,0.30392,0.33851,0.29583,0.33062,820267450.7,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.33062,0.33062,0.33062,1,9,0.0,0.5,1,20.0,1.759189180295504,20.0,1.759189180295504,15.725908412763095,1.2308403375540744,8.103274401510603,0.605157883359961,3.4977094557348365,0.25417774164430695,1.3684833654055137,0.09800465789422184,20.0,1.759189180295504
2021-01-10,0.33062,0.3412,0.27948,0.30153,908667596.0,,ADAUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,0.30153,0.30153,0.30153,1,10,0.0,0.5,1,12.683628608761087,-1.759724154618596,19.22147427410324,-1.759724154618596,15.410309165633903,-1.3836630443629503,8.568968363770821,-0.7129763847920378,3.8466134365933087,-0.3077501907547227,1.5354094551499124,-0.12040766166489145,19.22147427410324,-1.759724154618596
