Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,ewma_norm_2_forecast,ewma_norm_2_turnover,ewma_norm_2_max_payable,ewma_norm_2_cost_pass,ewma_norm_4_forecast,ewma_norm_4_turnover,ewma_norm_4_max_payable,ewma_norm_4_cost_pass,ewma_norm_8_forecast,ewma_norm_8_turnover,ewma_norm_8_max_payable,ewma_norm_8_cost_pass,ewma_norm_16_forecast,ewma_norm_16_turnover,ewma_norm_16_max_payable,ewma_norm_16_cost_pass,ewma_norm_32_forecast,ewma_norm_32_turnover,ewma_norm_32_max_payable,ewma_norm_32_cost_pass,ewma_norm_64_forecast,ewma_norm_64_turnover,ewma_norm_64_max_payable,ewma_norm_64_cost_pass,normalised_price_ewma_norm,capped_forecast,forecast*returns,cum_series
2021-01-01,3.1859,3.86,3.0178,3.6497,3817118.74,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.6497,3.6497,3.6497,3.473099752094661,1,0.0006,0.5,1,0.0,52.75343034917734,0.0024642947224384104,True,0.0,28.658956406076005,0.004536103763095806,True,0.0,20.414155056810994,0.006368130331048245,True,0.0,10.91533102180899,0.011909854107058972,True,0.0,9.884530131761577,0.01315186440499342,True,0.0,9.370172633784493,0.013873810556198329,True,0.0,0.0,,0.0
2021-01-02,3.6544,3.939,3.2851,3.4956,1768205.15,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4956,3.4956,3.4956,3.463580273780449,2,0.0,0.5,1,0.0,52.75343034917734,0.0024642947224384104,True,0.0,28.658956406076005,0.004536103763095806,True,0.0,20.414155056810994,0.006368130331048245,True,0.0,10.91533102180899,0.011909854107058972,True,0.0,9.884530131761577,0.01315186440499342,True,0.0,9.370172633784493,0.013873810556198329,True,0.0,0.0,-0.0,0.0
2021-01-03,3.5005,3.83,3.3916,3.4691,989465.26,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4691,3.4691,3.4691,3.3960850004666745,3,0.0,0.5,1,-20.0,52.75343034917734,0.0024642947224384104,True,-20.0,28.658956406076005,0.004536103763095806,True,-20.0,20.414155056810994,0.006368130331048245,True,-11.108049326585082,10.91533102180899,0.011909854107058972,True,-3.924160570125015,9.884530131761577,0.01315186440499342,True,-1.3691880483409613,9.370172633784493,0.013873810556198329,True,-31.18494539094644,-16.17162923170247,-0.0,0.0
2021-01-04,3.477,3.83,3.2283,3.5999,1242545.27,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.5999,3.5999,3.5999,3.2479396488227326,4,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,11.149588610012485,10.91533102180899,0.011909854107058972,True,3.6550934880332253,9.884530131761577,0.01315186440499342,True,1.223882430439971,9.370172633784493,0.013873810556198329,True,57.85815505686067,16.092712825196138,-0.6097400200359399,-0.6097400200359399
2021-01-05,3.5999,4.3556,3.4703,4.2501,2403396.82,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.2501,4.2501,4.2501,3.076670399260247,5,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,11.441288327557766,9.370172633784493,0.013873810556198329,True,233.78118052514554,20.0,2.906603483136346,2.296863463100406
2021-01-06,4.2502,4.9773,4.1361,4.5788,2925158.25,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.5788,4.5788,4.5788,2.8730348118139357,6,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,20.0,9.370172633784493,0.013873810556198329,True,317.2060545140506,20.0,1.5467871344203665,3.8436505975207726
2021-01-07,4.5803,4.8205,4.1827,4.4707,1471492.75,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.4707,4.4707,4.4707,2.5558953291464483,7,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,20.0,9.370172633784493,0.013873810556198329,True,286.9927390296404,20.0,-0.4721761160129301,3.3714744815078426
2021-01-08,4.4728,5.9,4.0,5.7,3037659.66,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,5.7,5.7,5.7,2.3188465553736886,8,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,20.0,9.370172633784493,0.013873810556198329,True,482.3167980946214,20.0,5.499362515937105,8.870836997444947
2021-01-09,5.6999,7.487,5.5761,7.1877,4060100.24,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,7.1877,7.1877,7.1877,2.1682796524033323,9,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,20.0,9.370172633784493,0.013873810556198329,True,647.9160998684438,20.0,5.220000000000002,14.09083699744495
2021-01-10,7.2115,7.4969,6.15,6.5416,1865913.15,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,6.5416,6.5416,6.5416,1.911794143261906,10,0.0,0.5,1,20.0,52.75343034917734,0.0024642947224384104,True,20.0,28.658956406076005,0.004536103763095806,True,20.0,20.414155056810994,0.006368130331048245,True,20.0,10.91533102180899,0.011909854107058972,True,20.0,9.884530131761577,0.01315186440499342,True,20.0,9.370172633784493,0.013873810556198329,True,567.4414919414814,20.0,-1.7977934527039263,12.293043544741023
