Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
2/1/2023,67.9,68.405,67.725,68.285,62239,125100,AD1 Curncy,Future,CME,USD,0.005,5,1000,68285,68.285,68.525,0.575659622,8546,0.002,,0.6485
3/1/2023,68.17,68.54,67.06,67.54,110981,132015,AD1 Curncy,Future,CME,USD,0.005,5,1000,67540,67.54,67.795,0.559087202,8547,0.002,,0.6485
4/1/2023,67.485,69.06,67.35,68.585,128730,124805,AD1 Curncy,Future,CME,USD,0.005,5,1000,68585,68.585,68.84,0.58967809,8548,0.002,,0.6485
5/1/2023,68.54,68.635,67.525,67.755,92280,124045,AD1 Curncy,Future,CME,USD,0.005,5,1000,67755,67.755,68.01,0.577218546,8549,0.002,,0.6485
6/1/2023,67.705,69.045,67.32,69,101320,123219,AD1 Curncy,Future,CME,USD,0.005,5,1000,69000,69,69.255,0.633931187,8550,0.002,,0.6485
9/1/2023,68.935,69.675,68.92,69.52,85592,128058,AD1 Curncy,Future,CME,USD,0.005,5,1000,69520,69.52,69.775,0.722215919,8551,0.002,,0.6485
10/1/2023,69.3,69.445,68.76,69.11,76366,125112,AD1 Curncy,Future,CME,USD,0.005,5,1000,69110,69.11,69.365,0.749962666,8552,0.002,,0.6485
11/1/2023,69.135,69.425,68.895,69.285,60568,124252,AD1 Curncy,Future,CME,USD,0.005,5,1000,69285,69.285,69.545,0.796573286,8553,0.002,,0.6485
12/1/2023,69.21,70.005,68.74,69.88,101602,124445,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.887695424,8554,0.002,,0.6485
13/01/2023,69.815,70.1,69.31,69.88,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69880,69.88,70.14,0.964829346,8555,0.002,,0.6485
16/01/2023,69.815,70.1,69.31,69.93,73884,127186,AD1 Curncy,Future,CME,USD,0.005,5,1000,69930,69.93,70.195,1.024203268,8556,0.002,,0.6485
17/01/2023,69.895,70.345,69.455,70.04,110563,127638,AD1 Curncy,Future,CME,USD,0.005,5,1000,70040,70.04,70.31,1.088285234,8557,0.002,,0.6485
18/01/2023,70.035,70.785,69.5,69.595,115479,127334,AD1 Curncy,Future,CME,USD,0.005,5,1000,69595,69.595,69.865,1.118435365,8558,0.002,,0.6485
19/01/2023,69.56,69.62,68.86,69.32,86923,125927,AD1 Curncy,Future,CME,USD,0.005,5,1000,69320,69.32,69.595,1.118021877,8559,0.002,,0.6485
20/01/2023,69.25,69.875,69.205,69.84,57149,126889,AD1 Curncy,Future,CME,USD,0.005,5,1000,69840,69.84,70.115,1.128697885,8560,0.002,,0.6485
23/01/2023,69.855,70.535,69.755,70.335,80791,127297,AD1 Curncy,Future,CME,USD,0.005,5,1000,70335,70.335,70.61,1.156741184,8561,0.002,,0.6485
24/01/2023,70.42,70.715,70.065,70.635,68613,128800,AD1 Curncy,Future,CME,USD,0.005,5,1000,70635,70.635,70.915,1.179047002,8562,0.002,,0.6485
25/01/2023,70.585,71.35,70.45,71.155,88547,129099,AD1 Curncy,Future,CME,USD,0.005,5,1000,71155,71.155,71.405,1.234103656,8563,0.002,,0.6485
26/01/2023,71.175,71.55,70.915,71.255,69955,131866,AD1 Curncy,Future,CME,USD,0.005,5,1000,71255,71.255,71.51,1.242205599,8564,0.002,,0.6485
27/01/2023,71.275,71.415,70.95,71.235,62691,134770,AD1 Curncy,Future,CME,USD,0.005,5,1000,71235,71.235,71.48,1.22189617,8565,0.002,,0.6485
30/01/2023,71.13,71.325,70.635,70.695,60836,138264,AD1 Curncy,Future,CME,USD,0.005,5,1000,70695,70.695,70.945,1.187526947,8566,0.002,,0.6485
31/01/2023,70.69,70.765,69.955,70.645,83660,135560,AD1 Curncy,Future,CME,USD,0.005,5,1000,70645,70.645,70.895,1.150669479,8567,0.002,,0.6485
1/2/2023,70.62,71.56,70.48,71.34,92592,135999,AD1 Curncy,Future,CME,USD,0.005,5,1000,71340,71.34,71.595,1.14026521,8568,0.002,,0.6485
2/2/2023,71.415,71.685,70.79,70.83,103566,135598,AD1 Curncy,Future,CME,USD,0.005,5,1000,70830,70.83,71.085,1.11443977,8569,0.002,,0.6485
