Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
01/01/2021,3.1859,3.86,3.0178,3.6497,3817118.74000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.6497,3.6497,3.6497,1,1,0.0006,0.5,1
02/01/2021,3.6544,3.939,3.2851,3.4956,1768205.15000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4956,3.4956,3.4956,1,2,0,0.5,1
03/01/2021,3.5005,3.83,3.3916,3.4691,989465.26000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4691,3.4691,3.4691,1,3,0,0.5,1
04/01/2021,3.477,3.83,3.2283,3.5999,1242545.27000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.5999,3.5999,3.5999,1,4,0,0.5,1
05/01/2021,3.5999,4.3556,3.4703,4.2501,2403396.82000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.2501,4.2501,4.2501,1,5,0,0.5,1
06/01/2021,4.2502,4.9773,4.1361,4.5788,2925158.25000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.5788,4.5788,4.5788,1,6,0,0.5,1
07/01/2021,4.5803,4.8205,4.1827,4.4707,1471492.75000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.4707,4.4707,4.4707,1,7,0,0.5,1
08/01/2021,4.4728,5.9,4,5.7,3037659.66000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,5.7,5.7,5.7,1,8,0,0.5,1
09/01/2021,5.6999,7.487,5.5761,7.1877,4060100.24000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,7.1877,7.1877,7.1877,1,9,0,0.5,1
10/01/2021,7.2115,7.4969,6.15,6.5416,1865913.15000000,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,6.5416,6.5416,6.5416,1,10,0,0.5,1
