Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,,,,,,,,
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-4.7111111111111645,,-2.1176470588234455,,-0.8565656565657206,,-0.3257918552036786,,-0.119520789288222,,-0.04298593235555364,
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-5.458896496891612,0.0005773066737473468,-3.2620800180222664,0.00025949967021938244,-1.5262797562024604,0.00010496484977225153,-0.6255391320707765,3.992302618760607e-05,-0.2383723373150883,1.4646258107753813e-05,-0.08739113774744647,5.267561099882443e-06
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,-3.5534639685707727,-0.01170790963853217,-3.157437138999479,-0.006996311087124172,-1.777461150835043,-0.0032734721163727026,-0.7988057495000715,-0.001341618335834131,-0.31883186750837356,-0.0005112465105722222,-0.11964047592098433,-0.00018743120418902065
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-5.352786635239309,0.015209886131830233,-4.225390172463683,0.013514773127672823,-2.4541293600231135,0.007608064116329448,-1.14163477829132,0.0034191269698547423,-0.46562882157665064,0.001364695531710036,-0.17681177426040592,0.0005120969374140162
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,-4.695302359092542,-0.0036158593089924865,-4.484712216540811,-0.002854292059512497,-2.889976204479572,-0.0016577881945624429,-1.4264285767409024,-0.0007711853697620233,-0.6006845521645969,-0.0003145367868670637,-0.2319207723106347,-0.00011943806907789894
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,-3.1738549066873007,-0.00489844370080269,-4.144114423120012,-0.004678742416765885,-3.07421621583237,-0.003015010461869088,-1.63277939977661,-0.0014881427311811814,-0.714335311516631,-0.0006266730522736418,-0.28124739584031694,-0.00024195477933606116
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,-0.7677306154003877,-0.0070045841491376305,-3.09288835265252,-0.009145912164805519,-2.9027989767276012,-0.006784685125671643,-1.7059591686073536,-0.003603485678761214,-0.7839448891365906,-0.00157651245798164,-0.31629281468787185,-0.000620702933438606
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,1.8154862395048392,-0.001925431565415655,-1.5713331269519488,-0.007756815663001604,-2.414568648835953,-0.0072800806242860755,-1.6425385406696942,-0.0042784637822914,-0.8046346590264449,-0.001966096186359153,-0.3347093410768245,-0.0007932472108026933
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,0.0860229316739197,-0.005317184666314694,-1.6488768622812215,0.004602110567679107,-2.415378317590295,0.007071773454397751,-1.7327246483284577,0.0048106565350018084,-0.878902816769742,0.0023566089226474476,-0.37262586155968813,0.0009802946105123824
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.3986803764406128,8.949206526263982e-05,-1.2802729761835288,-0.0017153727837209399,-2.263993257729535,-0.002512785716849616,-1.7659911001681956,-0.0018026019840638305,-0.9355644228784386,-0.0009143472177398736,-0.4056123351238118,-0.00038765312077078526
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,1.96445513096596,0.0007799102607959283,-0.3367860680526576,-0.002504507594930524,-1.848027551265226,-0.0044288900994832,-1.6854822340145932,-0.003454683653587424,-0.9502548814427532,-0.0018301785995910546,-0.4242119191536971,-0.0007934707619490259
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.22868781034609617,-0.005753132781352529,-0.8563181970628613,0.0009863167337722932,-1.93606415469347,0.005412161223961721,-1.76831133377669,0.004936128568194148,-1.0207197055734947,0.0027829307083131823,-0.4627747996056771,0.0012423533934946837
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-2.7459785477162786,0.0005457608985128898,-1.9908753176881613,0.0020435937881196423,-2.346342018397043,0.004620395424858918,-1.9793760132877543,0.004220055196260562,-1.1407612701089538,0.002435936147189195,-0.5203943632796514,0.0011044068770420508
2017-01-20,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,-6.767371582968592,0.012464111668466482,-4.196930364305803,0.009036666472975964,-3.2894529369004504,0.010650144719461753,-2.3985176552353886,0.008984470648549164,-1.3365065592227858,0.005177963196225506,-0.6053618969762184,0.0023620918163954514
2017-01-23,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,-2.560937696677245,-0.03502737155520091,-3.2614908833407315,-0.02172297434233062,-3.1591082769883,-0.017025944093883468,-2.4488601712427753,-0.012414534662626807,-1.404438720518681,-0.006917650562247383,-0.6461479883319801,-0.0031333045379260457
2017-01-24,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,-3.0341412039446043,0.00580853888169301,-3.528730006950387,0.007397484379550486,-3.4302404370665096,0.007165267348039423,-2.6640688714124865,0.005554332516151701,-1.5429068559569383,0.0031854491913928277,-0.7159002995340604,0.0014655474510073723
2017-01-25,162.44,162.49,161.52,161.76,1048098,1741948,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161760,161.76,158.64,0.647763589,18,0.002,,1.1308,,-7.851776841958216,0.018641811280072588,-5.769624176249799,0.02168057266496927,-4.448021499489818,0.02107545119849177,-3.1306109722234168,0.016368081048245855,-1.7605598045105681,0.009479643990888076,-0.8108644049356176,0.004398502700504195
2017-01-26,161.6,161.88,161.31,161.43,875402,1719559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161430,161.43,158.32,0.757355707,19,0.002,,1.1308,,-9.885166829372519,0.016018090738415217,-7.644962344439515,0.011770375730479177,-5.58998253133956,0.009074227836495708,-3.738729472155769,0.006386632176271397,-2.0609619134256376,0.0035916464854627243,-0.9440959421555509,0.0016542115085851673
2017-01-27,161.54,161.93,161.49,161.85,699866,1720039,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161850,161.85,158.74,0.812758062,20,0.002,,1.1308,,-6.816088977778817,-0.025718702027730352,-7.358836374859581,-0.019890256982374014,-5.992209788698673,-0.014543719650391161,-4.113374201499396,-0.009727227766248176,-2.2892934185637976,-0.0053621012428840915,-1.055084615727101,-0.0024562986787173167
2017-01-30,161.93,162.22,161.35,162.07,814240,1708279,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162070,162.07,158.96,0.842975484,21,0.002,,1.1308,,-3.862321052873235,-0.009264995830160093,-6.401711408400288,-0.010002743296071578,-6.0553684487778465,-0.008145110617941124,-4.379398102709768,-0.0055912408052512215,-2.4905897522155134,-0.0031117982828795764,-1.1607626661762542,-0.001434158884522541
2017-01-31,162.07,162.29,161.49,162.13,1001325,1717559,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162130,162.13,159.01,0.846005319,22,0.002,,1.1308,,-2.2043942998188286,-0.0014298714331612745,-5.491047346345568,-0.002369980159832827,-6.00796447094082,-0.002241760393205127,-4.6009005775003216,-0.0016212987361180166,-2.683428310546261,-0.0009220422356572185,-1.2669253805140348,-0.00042972641433079153
2017-02-01,161.9,162.02,161.51,161.61,737846,1700070,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,161610,161.61,158.48,0.875672503,23,0.002,,1.1308,,-4.465075281360591,0.007070159969812702,-6.091348038161194,0.017611451428480553,-6.413988713569635,0.019269361160112686,-4.955526273376069,0.014756481220625714,-2.917962680266407,0.008606567084956428,-1.3873082276701332,0.0040634132971520695
2017-02-02,161.94,162.56,161.63,162.37,856473,1691350,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162370,162.37,159.24,0.82122226,24,0.002,,1.1308,,0.03596247016008966,-0.020997817052372993,-4.10249877693108,-0.028645656265097703,-5.76708156684869,-0.03016293188733897,-4.885902503886704,-0.023304250775111425,-2.988514898703867,-0.01372224266445416,-1.4468844606268776,-0.006524065670622398
2017-02-03,162.15,162.68,162.01,162.49,657266,1685955,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162490,162.49,159.36,0.785932143,25,0.002,,1.1308,,1.9532752665182325,2.657816357215477e-05,-2.6011208238691657,-0.0030319631288521945,-5.213791405907369,-0.004262177668423012,-4.876980693704213,-0.0036109398316585936,-3.1075638981698273,-0.0022086702460088993,-1.5341508087777838,-0.0010693239839577862
2017-02-06,162.5,163.48,162.44,163.19,938640,1713899,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,160.05,0.716438413,26,0.002,,1.1308,,6.389822080373365,0.0084146266635654,0.2621991078695806,-0.011205517734681446,-3.8828125946222882,-0.022460791335682826,-4.471893431361283,-0.021009825131348987,-3.049459227892229,-0.013387252930757867,-1.549873750350353,-0.0066090563489718274
2017-02-07,163.49,163.74,162.97,163.38,965267,1705739,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163380,163.38,160.2,0.721030975,27,0.002,,1.1308,,7.939658918423936,0.007439586955517537,2.348529875547516,0.0003052750198861387,-2.697876975981517,-0.004520708333710491,-4.112447649229011,-0.0052065675100105464,-3.025487052256438,-0.0035504458195937737,-1.5867016128085387,-0.0018044979016273006
2017-02-08,163.53,164.41,163.44,164.22,993921,1701976,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164220,164.22,161.02,0.770075105,28,0.002,,1.1308,,12.244341749242752,0.04082086847518773,5.640831435019325,0.012074703730321538,-0.7719029190612273,-0.01387083278139611,-3.310608771788659,-0.021143689713259906,-2.7779852843500046,-0.01555520335350369,-1.526066432335377,-0.00815784890904141
2017-02-09,164.21,164.46,163.97,164.23,771865,1715433,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164230,164.23,161.01,0.80645996,29,0.002,,1.1308,,11.947080677353183,0.0007456060010487941,7.35467905835409,0.00034349235385521627,0.6636638555125887,-4.700419675191821e-05,-2.703003371536311,-0.00020159595492530742,-2.6332205228685375,-0.00016916242140699005,-1.5172076448918954,-9.292817149756133e-05
2017-02-10,163.96,164.17,163.76,163.91,639537,1730715,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163910,163.91,160.7,0.831093657,30,0.002,,1.1308,,8.170118235990607,-0.023278729932125177,7.080438917350821,-0.014330495638271002,1.3825579433709214,-0.001293140313974443,-2.28464632469291,0.005266766601057034,-2.532259631474607,0.005130795636107348,-1.5193097803864604,0.002956259187513814
2017-02-13,163.93,164.03,163.68,163.76,512868,1743253,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163760,163.76,160.56,0.846974419,31,0.002,,1.1308,,5.073192019254944,-0.007476772224992794,6.241047257758267,-0.006479567064868549,1.7476492425799548,-0.0012652290373109294,-1.9850066198359302,0.002090762910767679,-2.4703694694654805,0.0023173628498638532,-1.5368512502826381,0.001390375615020224
2017-02-14,163.97,164.07,163.26,163.42,740039,1754219,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.22,0.851208357,32,0.002,,1.1308,,1.2302488483986942,-0.01053300736777403,4.481668677587693,-0.012957719025633876,1.5866278857634342,-0.0036284852374034115,-1.8642792262228003,0.004121288780802479,-2.4567034272752903,0.005129003539437351,-1.5675862917853411,0.003190824530386512
2017-02-15,163.52,163.55,163.13,163.3,665674,1746602,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163300,163.3,160.11,0.847630619,33,0.002,,1.1308,,-0.8119974333320606,-0.0009033769539089904,2.981730080376576,-0.003290908342371752,1.3069251124101342,-0.0011650675944900597,-1.8225020697632388,0.001368948152898552,-2.479172070346603,0.001803967759594681,-1.615349211761572,0.001151085271167513
2017-02-16,163.48,163.88,163.32,163.84,754372,1748981,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163840,163.84,160.65,0.845453133,34,0.002,,1.1308,,2.5574392162774533,-0.002685110924674231,3.710155177251183,0.009859976995733688,1.7546081738208739,0.004321736440302848,-1.491158003421527,-0.006026644933693354,-2.36340788254225,-0.008198119522272704,-1.601169417152878,-0.0053416324210118025
2017-02-17,163.79,164.64,163.62,164.43,751339,1742367,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164430,164.43,161.23,0.890519511,35,0.002,,1.1308,,7.24948686703173,0.009209528427756943,5.806728601561986,0.013360544156361072,2.82046390582551,0.006318474258754368,-0.9053078712428029,-0.005369770642203986,-2.1389808955819802,-0.008510807194213425,-1.543183872160752,-0.0057659299079601935
2017-02-20,164.28,164.68,164.18,164.58,597814,1722583,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164580,164.58,161.38,0.937918795,36,0.002,,1.1308,,8.675250873243357,0.006613288512161671,7.298454457165203,0.005297143405913063,3.8464612108462894,0.0025729464566917244,-0.3283374443395718,-0.0008258601270231614,-1.9395625606578069,-0.0019512688337729872,-1.5071477184740214,-0.0014077575918269743
2017-02-21,164.57,164.64,164.09,164.41,692504,1701228,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164410,164.41,161.22,0.962182762,37,0.002,,1.1308,,6.643315605343671,-0.008960946946479321,7.293242526792194,-0.007538809440504615,4.376215557846445,-0.003973134073666036,0.10415009255166924,0.0003391503556795153,-1.7771748763345097,0.0020034368411220743,-1.4815719554397417,0.0015567815782028054
2017-02-22,164.35,165.53,164.31,164.99,1140900,1712331,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164990,164.99,161.78,1.033838801,38,0.002,,1.1308,,9.439313445582462,0.02343606259412063,8.828122725830113,0.025728852658229554,5.440432391565919,0.01543826423910326,0.7834531672280984,0.00036741715029480474,-1.4749248782133395,-0.006269457017663326,-1.3851226119141318,-0.005226639098321635
2017-02-23,165.1,165.8,164.84,165.64,781978,1693507,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,165640,165.64,162.4,1.147469244,39,0.002,,1.1308,,13.6019576015833,0.03718742796307898,11.37630092845659,0.03477956101454262,7.003404381976379,0.021433305379221362,1.6947451248718375,0.003086517720457285,-1.0615341389454307,-0.005810662287645552,-1.2392607616407565,-0.005456874342348969
2017-02-24,165.72,166.4,165.6,166.21,841355,1651201,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166210,166.21,162.95,1.272212901,40,0.002,,1.1308,,17.01579953042525,0.046807026279298405,14.18392205982976,0.03914810148044362,8.876858646556599,0.024100099599896143,2.777553363936078,0.005831953158518538,-0.575438710102731,-0.0036529489205441626,-1.0675033326145567,-0.004264541379710682
2017-02-27,166.22,166.32,165.9,166.08,640091,1624074,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,166080,166.08,162.84,1.378103407,41,0.002,,1.1308,,14.773017197428914,-0.013308789717557234,14.925154476061198,-0.011093856373129112,10.190287899787354,-0.006942973491681056,3.7161997270294957,-0.002172444120760933,-0.1491724573745864,0.00045007540047741905,-0.9294434706442212,0.0008349403359598484
