Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_px,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,trades,pnl_usd,carry_pnl_usd,trade_pnl_usd,strategy_ret,current_position
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,,164.47,164.47,0.0,,,,,0.77,1.6447,1644.7,1266.419,1119.9319066147862,10000000.0,125000.0,111.61392872343195,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-0.007660971605763955,-1.259999999999991,-0.007660971605763955,1.587599999999977,1.259999999999991,163.966,164.32176470588234,-0.35576470588233633,-0.2823529411764594,-2.1176470588234455,-2.1176470588234455,,0.77,1.6321,1632.1000000000001,1256.717,1111.352140077821,10000000.0,125000.0,112.47560110987597,-23.818362587972793,-17.05278457733702,-17,-17,0.0,-0.0,0.0,0.0,0.0
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.00012254151093693544,-0.020000000000010232,-0.00012254151093693544,1.5018054054053835,1.225481703415185,163.6556,164.188615916955,-0.5330159169550086,-0.4349440024029689,-3.2620800180222664,-3.2620800180222664,0.00025949967021938244,0.75,1.6319,1631.8999999999999,1223.925,1082.3532012734347,10000300.672090555,125000.0,115.48910268194538,-37.67346941580958,-26.972364529923553,-27,-10,300.67209055551285,300.67209055551285,0.0,3.0067209055551284e-05,-17.0
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.00214473926098413,0.3499999999999943,0.00214473926098413,1.427248356464552,1.1946750003513724,163.60935999999998,164.11230816201913,-0.5029481620191518,-0.42099161853326383,-3.157437138999479,-3.157437138999479,-0.006996311087124172,0.69,1.6354,1635.3999999999999,1128.426,997.900601344181,9991943.756632471,125003.75840113194,125.26674323349516,-39.552186736694935,-28.317434395093343,-28,-1,-8356.915458082638,-8356.915458082638,0.0,-0.0008356664196513236,-27.0
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.0042802983979454146,-0.6999999999999886,-0.0042802983979454146,1.3765862831421427,1.173280138390718,163.301616,163.9626248488404,-0.661008848840396,-0.5633853563284911,-4.225390172463683,-4.225390172463683,0.013514773127672823,0.66,1.6284,1628.4,1074.7440000000001,950.4280155642024,10009276.61832331,124899.2969579059,131.41373666659223,-55.527431143774926,-39.754929329434646,-40,-12,17332.86169083806,17332.86169083806,0.0,0.0017346836724669132,-28.0
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.0006755097027757451,0.10999999999998522,0.0006755097027757451,1.3028302678371617,1.141415904846766,163.1609696,163.8434925136827,-0.6825229136827033,-0.5979616288721081,-4.484712216540811,-4.484712216540811,-0.002854292059512497,0.65,1.6295,1629.5,1059.175,936.6598868058012,10005385.567739652,125115.95772904137,133.57672244907593,-59.9053159012852,-42.889281046455174,-43,-3,-3891.0505836570646,-3891.0505836570646,0.0,-0.0003887444349908344,-40.0
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.001043264805155042,0.17000000000001592,0.001043264805155042,1.2339691722783965,1.110841650406752,163.14458176,163.75837574736707,-0.6137939873670746,-0.552548589749335,-4.144114423120012,-4.144114423120012,-0.004678742416765885,0.62,1.6312,1631.2,1011.344,894.3615139724089,9998921.117792713,125067.31959674566,139.83978250723789,-57.95120596142101,-41.49023374747066,-41,2,-6464.449946940824,-6464.449946940824,0.0,-0.0006460970347593739,-43.0
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.002206964198136152,0.3599999999999852,0.002206964198136152,1.1742735413444285,1.0836390272338978,163.27874905599998,163.7256256594415,-0.4468766034415239,-0.41238511368700265,-3.09288835265252,-3.09288835265252,-0.009145912164805519,0.6,1.6348,1634.8,980.8799999999999,867.4212946586487,9985868.411743898,124986.51397240891,144.08974594241906,-44.56534969619686,-31.9066142845052,-32,9,-13052.706048814462,-13052.706048814462,0.0,-0.0013054114433993934,-41.0
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.0025079520430633107,0.4099999999999966,0.0025079520430633107,1.1198857823528376,1.0582465602839621,163.52324943359997,163.74496381715426,-0.22171438355428563,-0.2095110835935932,-1.5713331269519488,-1.5713331269519488,-0.007756815663001604,0.56,1.6388999999999998,1638.8999999999999,917.784,811.6236292889989,9974266.006367173,124823.35514679873,153.79462923738046,-24.166259566798864,-17.301861826586013,-17,15,-11602.405376724346,-11602.405376724346,0.0,-0.0011618824621281126,-32.0
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.002928793703093513,-0.47999999999998977,-0.002928793703093513,1.0718054697932242,1.0352803822120964,163.47794966016,163.70555630925375,-0.22760664909375805,-0.2198502483041629,-1.6488768622812215,-1.6488768622812215,0.004602110567679107,0.53,1.6341,1634.1000000000001,866.0730000000001,765.8940573045631,9981482.136540502,124678.32507958967,162.78795205484988,-26.841728760138682,-19.21736712754082,-19,-2,7216.130173328463,7216.130173328463,0.0,0.0007234748069403777,-17.0
