Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_pct_for_sig,ret_net_for_var,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,volatility_scaler,subsystem_position,portfolio_instr_position,target_contracts,trades,pnl_usd,carry_pnl_usd,trade_pnl_usd,strategy_ret,current_position,cumulative_pnl_usd,pdm_used,eff_multiplier
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.77,1.6447,1644.7,1266.419,1432.0666052000001,10000000.0,125000.0,87.28644292528747,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.431902341259001,0.7159511706295005
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-0.007660971605763955,-1.259999999999991,1.587599999999977,1.259999999999991,163.966,164.32176470588234,-0.35576470588233633,-0.2823529411764594,-2.1176470588234455,-2.1176470588234455,,0.77,1.6321,1632.1000000000001,1256.717,1421.0955836,10000000.0,125000.0,87.96030431911053,-18.62688797345796,-13.335942249781793,-13,-13,0.0,-0.0,0.0,0.0,0.0,0.0,1.431902341259001,0.7159511706295005
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.00012254151093693544,-0.020000000000010232,1.5018054054053835,1.225481703415185,163.6556,164.188615916955,-0.5330159169550086,-0.4349440024029689,-3.2620800180222664,-3.2620800180222664,0.00025949967021938244,0.75,1.6319,1631.8999999999999,1223.925,1384.01439,10000294.008,125000.0,90.31698001348093,-29.462121579009256,-21.093440433720346,-21,-8,294.00800000015045,294.00800000015045,0.0,2.9400800000015045e-05,-13.0,294.00799999944866,1.431902341259001,0.7159511706295005
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.00214473926098413,0.3499999999999943,1.427248356464552,1.1946750003513724,163.60935999999998,164.11230816201913,-0.5029481620191518,-0.42099161853326383,-3.157437138999479,-3.157437138999479,-0.006996311087124172,0.69,1.6354,1635.3999999999999,1128.426,1276.0241208,9991982.628,125003.6751,97.9634107712864,-30.931331143232125,-22.145322741125767,-22,-1,-8311.379999999865,-8311.379999999865,0.0,-0.0008311135645962966,-21.0,-8017.371999999508,1.431902341259001,0.7159511706295005
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.0042802983979454146,-0.6999999999999886,1.3765862831421427,1.173280138390718,163.301616,163.9626248488404,-0.661008848840396,-0.5633853563284911,-4.225390172463683,-4.225390172463683,0.013514773127672823,0.66,1.6284,1628.4,1074.7440000000001,1215.3205152000003,10009396.948,124899.78285000002,102.77106433066818,-43.42478452364383,-31.090025314036616,-31,-9,17414.319999999716,17414.319999999716,0.0,0.0017428292910758767,-22.0,9396.94800000079,1.431902341259001,0.7159511706295005
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.0006755097027757451,0.10999999999998522,1.3028302678371617,1.141415904846766,163.1609696,163.8434925136827,-0.6825229136827033,-0.5979616288721081,-4.484712216540811,-4.484712216540811,-0.002854292059512497,0.65,1.6295,1629.5,1059.175,1197.71509,10005540.920000002,125117.46185000002,104.46345954445646,-46.84885532011406,-33.541492809087764,-34,-3,-3856.027999999482,-3856.027999999482,0.0,-0.00038524079123167986,-31.0,5540.920000001788,1.431902341259001,0.7159511706295005
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.001043264805155042,0.17000000000001592,1.2339691722783965,1.110841650406752,163.14458176,163.75837574736707,-0.6137939873670746,-0.552548589749335,-4.144114423120012,-4.144114423120012,-0.004678742416765885,0.62,1.6312,1631.2,1011.344,1143.6277952,9999004.896000002,125069.26150000002,109.36185883636,-45.320805654297416,-32.44748386206632,-32,2,-6536.024000000612,-6536.024000000612,0.0,-0.0006532404446955789,-34.0,-995.1039999984205,1.431902341259001,0.7159511706295005
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.002206964198136152,0.3599999999999852,1.1742735413444285,1.0836390272338978,163.27874905599998,163.7256256594415,-0.4468766034415239,-0.41238511368700265,-3.09288835265252,-3.09288835265252,-0.009145912164805519,0.6,1.6348,1634.8,980.8799999999999,1109.1791039999998,9985978.080000002,124987.56120000003,112.68474203062524,-34.85213261481747,-24.952425144513164,-25,7,-13026.815999999466,-13026.815999999466,0.0,-0.0013028112432678885,-32.0,-14021.919999998063,1.431902341259001,0.7159511706295005
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.0025079520430633107,0.4099999999999966,1.1198857823528376,1.0582465602839621,163.52324943359997,163.74496381715426,-0.22171438355428563,-0.2095110835935932,-1.5713331269519488,-1.5713331269519488,-0.007756815663001604,0.56,1.6388999999999998,1638.8999999999999,917.784,1037.8301472,9974387.380000003,124824.72600000002,120.27471579696275,-18.899164526649844,-13.530878966774486,-14,11,-11590.699999999904,-11590.699999999904,0.0,-0.001160697520778045,-25.0,-25612.619999997318,1.431902341259001,0.7159511706295005
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.002928793703093513,-0.47999999999998977,1.0718054697932242,1.0352803822120964,163.47794966016,163.70555630925375,-0.22760664909375805,-0.2198502483041629,-1.6488768622812215,-1.6488768622812215,0.004602110567679107,0.53,1.6341,1634.1000000000001,866.0730000000001,979.3553484000001,9981986.356000002,124679.84225000005,127.30807306427943,-20.991533605729757,-15.028913058330719,-15,-1,7598.975999999838,7598.975999999838,0.0,0.0007618488946235248,-14.0,-18013.643999997526,1.431902341259001,0.7159511706295005
2017-01-16,163.83,163.92,163.39,163.58,455940,1703018,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163580,163.58,160.43,0.754192062,11,0.002,,1.1308,,0.0010403280093018719,0.17000000000001592,1.0154322011557528,1.007686558983374,163.518769796096,163.6907849787533,-0.17201518265730442,-0.17070306349113717,-1.2802729761835288,-1.2802729761835288,-0.0017153727837209399,0.46,1.6358000000000001,1635.8000000000002,752.4680000000001,850.8908144000001,9979102.816000002,124774.82945000003,146.6402355488867,-18.773953079442684,-13.441233684570307,-13,2,-2883.54000000027,-2883.54000000027,0.0,-0.00028887436800261937,-15.0,-20897.183999998495,1.431902341259001,0.7159511706295005
2017-01-17,163.73,164.45,163.71,163.9,877774,1718181,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163900,163.9,160.73,0.688355044,12,0.002,,1.1308,,0.001956229367893414,0.3199999999999932,0.9660791092013876,0.982893233877102,163.6712618776576,163.71539851066467,-0.044136633007070714,-0.04490480907368768,-0.3367860680526576,-0.3367860680526576,-0.002504507594930524,0.42,1.639,1639.0,688.38,778.420104,9974398.688000001,124738.78520000003,160.24609919375877,-5.396865366824216,-3.8638920771076064,-4,9,-4704.1279999999,-4704.1279999999,0.0,-0.0004713978888420242,-13.0,-25601.311999998987,1.431902341259001,0.7159511706295005
2017-01-18,163.81,163.82,163.04,163.42,789279,1719604,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163420,163.42,160.27,0.661785967,13,0.002,,1.1308,,-0.0029286150091519803,-0.4800000000000182,0.9263126708661784,0.9624513862352625,163.57075712659457,163.68064574470412,-0.10988861810955086,-0.1141757596083815,-0.8563181970628613,-0.8563181970628613,0.0009863167337722932,0.4,1.6341999999999999,1634.1999999999998,653.68,739.181344,9976569.824000001,124679.98360000002,168.67306596958707,-14.443781574414185,-10.341042326518647,-10,-6,2171.1360000000823,2171.1360000000823,0.0,0.00021767086597532264,-4.0,-23430.175999999046,1.431902341259001,0.7159511706295005
2017-01-19,163.0,163.15,162.62,163.03,870073,1724167,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163030,163.03,159.89,0.548840292,14,0.002,,1.1308,,-0.0023864888018602093,-0.38999999999998636,0.8844633373058439,0.9404591098531844,163.35445427595675,163.60409918650365,-0.2496449105468912,-0.2654500423584215,-1.9908753176881613,-1.9908753176881613,0.0020435937881196423,0.34,1.6303,1630.3000000000002,554.3020000000001,626.8047016000002,9980979.944,124707.12280000001,198.95690393143022,-39.60983893207391,-28.358710551864284,-28,-18,4410.119999999846,4410.119999999846,0.0,0.00044204772560110794,-10.0,-19020.055999999866,1.431902341259001,0.7159511706295005
2017-01-20,163.18,163.28,162.2,162.29,726842,1728202,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162290,162.29,159.15,0.539440142,15,0.002,,1.1308,,-0.004539041894130014,-0.7400000000000091,0.8662545082622856,0.9307279453536815,162.92867256557406,163.4494992822091,-0.5208267166350424,-0.5595907152407738,-4.196930364305803,-4.196930364305803,0.009036666472975964,0.33,1.6229,1622.9,535.557,605.6078556,10004410.120000001,124762.24930000001,206.01160989959922,-86.461638098715,-61.90231101131923,-62,-34,23430.176000000287,23430.176000000287,0.0,0.002347482524908306,-28.0,4410.120000001043,1.431902341259001,0.7159511706295005
2017-01-23,162.77,163.38,162.45,163.13,794009,1708741,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163130,163.13,159.98,0.539948454,16,0.002,,1.1308,,0.005175919650009186,0.8400000000000034,0.8575704807886488,0.9260510141394203,163.0092035393444,163.41191113136097,-0.40270759201655437,-0.4348654511120975,-3.2614908833407315,-3.2614908833407315,-0.02172297434233062,0.33,1.6313,1631.3,538.3290000000001,608.7424332,9945518.056000002,125055.12650000001,205.43191944517136,-67.00143324176139,-47.9697545632934,-48,14,-58892.06400000024,-58892.06400000024,0.0,-0.005886610334203316,-62.0,-54481.94399999827,1.431902341259001,0.7159511706295005
2017-01-24,163.14,163.23,162.48,162.76,723034,1715412,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162760,162.76,159.63,0.551983393,17,0.002,,1.1308,,-0.002268129712499234,-0.37000000000000455,0.8186153196649383,0.9047736289619289,162.90952212360665,163.33521570414203,-0.42569358053538053,-0.4704973342600516,-3.528730006950387,-3.528730006950387,0.007397484379550486,0.34,1.6276,1627.6,553.384,625.7666272,9965601.064000001,124318.97570000002,198.66667587606375,-70.10410605449526,-50.19111679565054,-50,-2,20083.00800000025,20083.00800000025,0.0,0.0020193023517648167,-48.0,-34398.93599999882,1.431902341259001,0.7159511706295005
