Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,eurusd,ret_net_for_var,ret_pct_for_sig,variance,stdev_variance,ewma_fast,ewma_slow,raw_crossover,vol_adj_crossover,scaled_forecast,capped_forecast,forecast_x_return,price_volatility,one_pct_move,block_value_eur,icv_eur,ivv,nav_usd,daily_cash_vol_target,target_contracts,trades,carry_pnl_eur,trade_pnl_eur,carry_pnl_usd,trade_pnl_usd,pnl_usd,strategy_ret,tickValue,tickSize,sharpe_usd
2017-01-02,164.07,164.94,164.07,164.47,122958,1582558,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,164470,164.47,161.25,1.265908764,1,0.002,,1.1308,,,,,,164.47,164.47,0.0,,,,,0.7696897695628382,1.6447,1644.7,1265.908764,1952.056690824981,10000000.0,125000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.01,-2.391937416444689
2017-01-03,164.39,164.52,162.99,163.21,833312,1597333,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163210,163.21,159.96,1.257936405,2,0.002,,1.1308,,-1.259999999999991,-0.007660971605763955,1.587599999999977,1.259999999999991,163.966,164.32176470588234,-0.35576470588233633,-0.2823529411764594,-2.1176470588234455,-2.1176470588234455,,0.7707471386557195,1.6321,1632.1000000000001,1257.936405,1939.7631534309946,9972798.766383963,125000.0,-14,-14,-0.0,-17639.999999999873,-0.0,-27201.233616036814,-27201.233616036814,-0.0027201233616036815,10,0.01,-2.391937416444689
2017-01-04,163.46,163.62,163.1,163.19,655358,1622321,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163190,163.19,159.96,1.225921694,3,0.002,,1.1308,,-0.020000000000010232,-0.00012254151093693544,1.5018054054053835,1.225481703415185,163.6556,164.188615916955,-0.5330159169550086,-0.4349440024029689,-3.2620800180222664,-3.2620800180222664,0.00025949967021938244,0.7512235394325633,1.6319,1631.8999999999999,1225.921694,1890.3958272937548,9972983.808789514,124659.98457979954,-22,-8,280.00000000014325,-160.00000000008185,431.7656129531893,-246.72320740182246,185.04240555136684,1.85547116597903e-05,10,0.01,-2.391937416444689
2017-01-05,163.51,163.74,162.81,163.54,1019510,1645574,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163540,163.54,160.29,1.135498129,4,0.002,,1.1308,,0.3499999999999943,0.00214473926098413,1.427248356464552,1.1946750003513724,163.60935999999998,164.11230816201913,-0.5029481620191518,-0.42099161853326383,-3.157437138999479,-3.157437138999479,-0.006996311087124172,0.694324403204109,1.6354,1635.3999999999999,1135.4981289999998,1750.960877409406,9961110.254433308,124662.29760986893,-22,0,-7699.9999999998745,-0.0,-11873.554356206438,-0.0,-11873.554356206438,-0.0011905719074507962,10,0.01,-2.391937416444689
2017-01-06,163.64,163.67,162.67,162.84,636677,1662473,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162840,162.84,159.62,1.075610214,5,0.002,,1.1308,,-0.6999999999999886,-0.0042802983979454146,1.3765862831421427,1.173280138390718,163.301616,163.9626248488404,-0.661008848840396,-0.5633853563284911,-4.225390172463683,-4.225390172463683,0.013514773127672823,0.6605319417833455,1.6284,1628.4,1075.6102139999998,1658.612511950655,9974063.222821897,124513.87818041636,-32,-10,15399.999999999749,-6999.999999999886,23747.108712412875,-10794.140323824035,12952.96838858884,0.0013003538820207288,10,0.01,-2.391937416444689
2017-01-09,162.7,163.33,162.47,162.95,599720,1691151,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,162950,162.95,159.76,1.055782174,6,0.002,,1.1308,,0.10999999999998522,0.0006755097027757451,1.3028302678371617,1.141415904846766,163.1609696,163.8434925136827,-0.6825229136827033,-0.5979616288721081,-4.484712216540811,-4.484712216540811,-0.002854292059512497,0.6479178729671679,1.6295,1629.5,1055.782174,1628.0372767925983,9968974.556669237,124675.79028527372,-34,-2,-3519.999999999527,219.99999999997044,-5427.910562836588,339.24441017728674,-5088.666152659301,-0.0005101898833983526,10,0.01,-2.391937416444689
2017-01-10,163.14,163.36,162.92,163.12,617957,1688904,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163120,163.12,159.93,1.004879761,7,0.002,,1.1308,,0.17000000000001592,0.001043264805155042,1.2339691722783965,1.110841650406752,163.14458176,163.75837574736707,-0.6137939873670746,-0.552548589749335,-4.144114423120012,-4.144114423120012,-0.004678742416765885,0.6160371266552231,1.6312,1631.2,1004.879761,1549.5447355435622,9959799.537393985,124612.18195836547,-33,1,-5780.000000000541,-170.00000000001592,-8912.87586738711,-262.1434078643268,-9175.019275251438,-0.0009203573770898387,10,0.01,-2.391937416444689
2017-01-11,163.16,163.98,163.04,163.48,906802,1701820,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163480,163.48,160.31,0.978354401,8,0.002,,1.1308,,0.3599999999999852,0.002206964198136152,1.1742735413444285,1.0836390272338978,163.27874905599998,163.7256256594415,-0.4468766034415239,-0.41238511368700265,-3.09288835265252,-3.09288835265252,-0.009145912164805519,0.5984551021531687,1.6348,1634.8,978.354401,1508.642098689283,9937594.448727833,124497.49421742483,-26,7,-11879.999999999513,-2519.9999999998963,-18319.198149575193,-3885.890516576556,-22205.08866615175,-0.002229471444960607,10,0.01,-2.391937416444689
2017-01-12,163.86,164.19,163.52,163.89,821923,1700349,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163890,163.89,160.74,0.910149621,9,0.002,,1.1308,,0.4099999999999966,0.0025079520430633107,1.1198857823528376,1.0582465602839621,163.52324943359997,163.74496381715426,-0.22171438355428563,-0.2095110835935932,-1.5713331269519488,-1.5713331269519488,-0.007756815663001604,0.5553417664287021,1.6388999999999998,1638.8999999999999,910.1496209999999,1403.4689606784887,9913569.776407093,124219.93060909792,-14,12,-10659.99999999991,-4919.999999999959,-16437.933693137875,-7586.738627602096,-24024.67232073997,-0.0024175541117815993,10,0.01,-2.391937416444689
2017-01-13,163.52,164.04,163.14,163.41,746655,1704686,RX1 Comdty,Future,EUX,EUR,0.01,10,1000,163410,163.41,160.27,0.872885445,10,0.002,,1.1308,,-0.47999999999998977,-0.002928793703093513,1.0718054697932242,1.0352803822120964,163.47794966016,163.70555630925375,-0.22760664909375805,-0.2198502483041629,-1.6488768622812215,-1.6488768622812215,0.004602110567679107,0.5341689278501928,1.6341,1634.1000000000001,872.8854450000001,1346.006854279106,9923191.981495759,123919.62220508867,-15,-1,6719.999999999856,-479.99999999998977,10362.37471087102,-740.169622205073,9622.205088665947,0.0009706095085511424,10,0.01,-2.391937416444689
