Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,near,far,Standard Cost,Instrument_Weights,Exchange rate
22/06/1998,3265,3275,3250,3265,248,110,Future,EUX,EUR,1,10,10,32650,VG1 Index,116.5762554439512,1,,,0.0026,,1.1308
23/06/1998,3295,3331,3295,3325,257,245,Future,EUX,EUR,1,10,10,32650,VG1 Index,101.26478492875344,2,,,0.0026,,1.1308
24/06/1998,3330,3362,3320,3355,2472,1422,Future,EUX,EUR,1,10,10,33250,VG1 Index,89.86243189824484,3,,,0.0026,,1.1308
25/06/1998,3405,3440,3395,3440,1177,2038,Future,EUX,EUR,1,10,10,33550,VG1 Index,79.53431125411655,4,,,0.0026,,1.1308
26/06/1998,3405,3436,3400,3436,220,2077,Future,EUX,EUR,1,10,10,34400,VG1 Index,74.93848588453525,5,,,0.0026,,1.1308
29/06/1998,3448,3490,3448,3470,1870,3413,Future,EUX,EUR,1,10,10,34360,VG1 Index,69.96506270989846,6,,,0.0026,,1.1308
30/06/1998,3461,3465,3440,3445,376,3665,Future,EUX,EUR,1,10,10,34700,VG1 Index,71.48717833756406,7,,,0.0026,,1.1308
01/07/1998,3472,3511,3472,3500,1139,4016,Future,EUX,EUR,1,10,10,34450,VG1 Index,71.26027411304767,8,,,0.0026,,1.1308
02/07/1998,3540,3555,3500,3525,841,4410,Future,EUX,EUR,1,10,10,35000,VG1 Index,81.31609106853753,9,,,0.0026,,1.1308
03/07/1998,3532,3545,3520,3538,109,4333,Future,EUX,EUR,1,10,10,35250,VG1 Index,99.16202230020664,10,,,0.0026,,1.1308
06/07/1998,3515,3547,3515,3545,168,4420,Future,EUX,EUR,1,10,10,35380,VG1 Index,106.24230168189446,11,,,0.0026,,1.1308
07/07/1998,3553,3576,3553,3568,810,4981,Future,EUX,EUR,1,10,10,35450,VG1 Index,118.70436667059329,12,,,0.0026,,1.1308
08/07/1998,3582,3605,3569,3590,859,4981,Future,EUX,EUR,1,10,10,35680,VG1 Index,137.24646929277745,13,,,0.0026,,1.1308
09/07/1998,3580,3605,3580,3584,575,5873,Future,EUX,EUR,1,10,10,35900,VG1 Index,147.16994711330597,14,,,0.0026,,1.1308
10/07/1998,3561,3595,3554,3556,842,5858,Future,EUX,EUR,1,10,10,35840,VG1 Index,156.00350423414613,15,,,0.0026,,1.1308
13/07/1998,3560,3595,3560,3591,81,5880,Future,EUX,EUR,1,10,10,35560,VG1 Index,159.95710883442027,16,,,0.0026,,1.1308
14/07/1998,3605,3619,3590,3616,236,5940,Future,EUX,EUR,1,10,10,35910,VG1 Index,164.04930153259787,17,,,0.0026,,1.1308
15/07/1998,3630,3665,3630,3646,1119,6801,Future,EUX,EUR,1,10,10,36160,VG1 Index,162.30944725020333,18,,,0.0026,,1.1308
16/07/1998,3560,3665,3560,3642,952,7263,Future,EUX,EUR,1,10,10,36460,VG1 Index,158.4372325770257,19,,,0.0026,,1.1308
17/07/1998,3665,3715,3660,3703,837,7732,Future,EUX,EUR,1,10,10,36420,VG1 Index,154.91592343375544,20,,,0.0026,,1.1308
20/07/1998,3700,3723,3700,3720,1118,8347,Future,EUX,EUR,1,10,10,37030,VG1 Index,152.39069306664746,21,,,0.0026,,1.1308
21/07/1998,3718,3718,3676,3700,583,8536,Future,EUX,EUR,1,10,10,37200,VG1 Index,146.32403539177403,22,,,0.0026,,1.1308
22/07/1998,3685,3685,3550,3611,471,8828,Future,EUX,EUR,1,10,10,37000,VG1 Index,134.73867299331621,23,,,0.0026,,1.1308
23/07/1998,3606,3629,3595,3615,822,9162,Future,EUX,EUR,1,10,10,36110,VG1 Index,131.97729602725792,24,,,0.0026,,1.1308
24/07/1998,3576,3623,3576,3595,433,10657,Future,EUX,EUR,1,10,10,36150,VG1 Index,116.5762554439512,25,,,0.0026,,1.1308
27/07/1998,3594,3617,3530,3530,1482,11091,Future,EUX,EUR,1,10,10,35950,VG1 Index,101.26478492875344,26,,,0.0026,,1.1308
28/07/1998,3575,3580,3500,3515,819,10716,Future,EUX,EUR,1,10,10,35300,VG1 Index,89.86243189824484,27,,,0.0026,,1.1308
29/07/1998,3490,3543,3490,3520,549,10699,Future,EUX,EUR,1,10,10,35150,VG1 Index,79.53431125411655,28,,,0.0026,,1.1308
